amenity_clean,num_aurelia_lsiting
Washer,919
"Dedicated workspace",844
Microwave,438
"Fire extinguisher",435
Hangers,419
TV,390
Shampoo,386
"Lock on bedroom door",337
Dishwasher,315
Elevator,298
"Paid parking off premises",280
"Pack u2019n Play/travel crib",227
Iron,131
"Dishes and silverware",112
Lockbox,87
"Free parking on premises",85
Wifi,78
"Hot water",74
"Long term stays allowed",55
Breakfast,52
"Cable TV",52
Refrigerator,48
"Extra pillows and blankets",46
"Cooking basics",46
"Body soap",42
"Window guards",41
"Air conditioning",39
Essentials,38
"Free street parking",36
Dryer,34
"Luggage dropoff allowed",33
Oven,30
Crib,23
"Private entrance",22
"Hair dryer",22
"Patio or balcony",20
"Host greets you",20
"Hot tub",17
Stove,16
Keypad,15
"Bathroom essentials",15
"Self check-in",10
"Bedroom comforts",9
"Private living room",9
"Room-darkening shades",9
"Garden or backyard",9
"Cleaning before checkout",8
Kitchen,8
"First aid kit",8
"Bed linens",7
"Indoor fireplace",7
"EV charger",6
"Dining table",6
Pool,5
"55 HDTV with Netflix",4
"Amazon Prime Video",4
"Pour-over coffee",4
"Coffee maker",4
"High chair",4
"Ethernet connection",3
"Laundromat nearby",3
Heating,3
"Board games",2
"Building staff",2
"Carbon monoxide alarm",2
"Nespresso machine",2
Freezer,2
"Paid parking garage on premises",2
Gym,2
"Private garden or backyard",2
"Childrenu2019s dinnerware",2
"Childrenu2019s books and toys",2
"Induction stove",1
"Paid parking garage on premises u2013 10 spaces",1
"Outdoor dining area",1
"Free driveway parking on premises",1
"28 HDTV",1
"Game console",1
"Beach essentials",1
"43 HDTV with Netflix",1
"Barbecue utensils",1
"TV with Apple TV",1
"TV with Netflix",1
"Pets allowed",1
"Paid valet parking on premises",1
"Wifi u2013 30 Mbps",1
"Window AC unit",1
"Pocket wifi",1
