Review_Yr,NY_total_reviews,LY_NY_Review_Count,NY_growth_percentage,Rome_total_reviews,LY_Rome_Review_Count,Rome_growth_percentage
NULL,0,NULL,NULL,0,NULL,NULL
2008,0,0,NULL,1,0,NULL
2009,49,0,NULL,5,1,400.0000
2010,355,49,624.4898,32,5,540.0000
2011,1500,355,322.5352,408,32,1175.0000
2012,3146,1500,109.7333,2039,408,399.7549
2013,6089,3146,93.5474,6159,2039,202.0598
2014,12000,6089,97.0767,15451,6159,150.8686
2015,24020,12000,100.1667,36715,15451,137.6222
2016,41465,24020,72.6270,67137,36715,82.8599
2017,59990,41465,44.6762,94316,67137,40.4829
2018,88896,59990,48.1847,125074,94316,32.6116
2019,125311,88896,40.9636,165491,125074,32.3145
2020,55984,125311,-55.3240,42799,165491,-74.1382
2021,5051,55984,-90.9778,1045,42799,-97.5584
