Review_Yr_Month,NY_total_reviews,Rome_total_reviews,NY_avg_overall_rating,Rome_avg_overall_rating
200811,0,1,NULL,86
200902,0,1,NULL,86
200905,4,0,89.75,NULL
200906,1,1,91,86
200907,4,2,90,86
200908,4,0,92.75,NULL
200909,3,0,95.3333,NULL
200910,7,0,92.7143,NULL
200911,13,0,92.6154,NULL
200912,13,1,91.7692,86
201001,11,0,94,NULL
201002,4,1,94.5,86
201003,14,0,93.1429,NULL
201004,16,0,92.5,NULL
201005,20,3,94,88
201006,15,1,94.6,97
201007,22,0,93.6364,NULL
201008,39,5,94.4615,92
201009,60,7,94.3621,92.7143
201010,64,5,94.3438,95.2
201011,48,7,94.6875,92.7143
201012,42,3,93.7619,91.6667
201101,44,5,92.5227,94.4
201102,27,4,92.5185,91.75
201103,54,8,93.2037,94.5
201104,80,17,93.5,94.1176
201105,119,39,93.8655,94.5641
201106,127,46,93.0866,95.1304
201107,103,38,93.932,94.0789
201108,148,30,94,94.2333
201109,216,65,93.2315,93.2615
201110,237,78,93.5232,93.9103
201111,201,48,94.1891,94.1458
201112,144,30,93.6111,93.5
201201,140,57,94.05,92.9825
201202,80,35,93.2,94.2
201203,140,60,93.85,94.4
201204,244,146,93.9344,94.0959
201205,325,211,94.3415,93.8152
201206,263,231,94.076,93.7706
201207,245,210,94.1633,93.781
201208,279,159,94.6201,93.5786
201209,394,318,94.2234,93.9748
201210,454,326,94.6079,93.1564
201211,299,172,94.0167,93.9419
201212,283,114,94.3145,94.2982
201301,235,178,93.9745,93.764
201302,167,127,94.4611,93.9528
201303,312,287,94.1378,93.6063
201304,492,504,93.8923,93.623
201305,624,723,94.2295,93.5007
201306,502,632,94.0757,93.5411
201307,496,630,94.0585,93.5
201308,557,462,93.9695,93.0563
201309,764,833,94.0498,93.7011
201310,796,905,94.1219,93.4575
201311,584,501,94.0925,93.5868
201312,560,377,93.7411,93.5225
201401,462,504,93.8247,93.5139
201402,271,399,93.8192,93.4612
201403,533,722,93.693,93.6205
201404,852,1293,93.6984,93.3532
201405,1082,1575,93.6811,93.5765
201406,974,1618,93.8984,93.5723
201407,925,1557,93.6962,93.4316
201408,1305,1374,93.9264,93.2926
201409,1530,1958,93.8301,93.502
201410,1714,2217,94.0263,93.5954
201411,1229,1238,93.9276,93.8061
201412,1123,996,93.902,93.8514
201501,931,1272,94.073,93.7524
201502,638,1130,94.239,93.8416
201503,1013,1802,93.6294,93.6781
201504,1551,2943,93.7332,93.896
201505,2318,4068,93.8095,93.7997
201506,2129,4069,93.7689,93.8457
201507,2065,3970,93.6318,93.8907
201508,2498,3202,93.646,93.7523
201509,3136,4638,94.0922,93.9694
201510,3258,4956,94.1578,94.1554
201511,2172,2510,94.1142,94.4183
201512,2311,2155,93.4288,94.3114
201601,1929,2615,93.9984,94.321
201602,1389,2672,93.9431,94.1295
201603,2238,3714,93.8619,94.2855
201604,2845,5841,94.1361,94.3471
201605,4011,7276,94.1697,94.3758
201606,3586,6977,94.0678,94.362
201607,3569,7134,94.0869,94.3133
201608,4089,6079,94.2889,94.1593
201609,5048,7917,94.4788,94.3909
201610,5181,8392,94.5763,94.5004
201611,3818,4723,94.572,94.2875
201612,3762,3797,94.3267,94.2108
201701,3033,4643,94.1903,94.3104
201702,2066,4224,94.4692,94.4219
201703,3397,5771,94.2305,94.4023
201704,4744,9137,94.555,94.4991
201705,5876,10863,94.5866,94.5724
201706,5146,10197,94.4844,94.5109
201707,5405,9966,94.5997,94.5368
201708,5799,7905,94.4823,94.327
201709,6909,10350,94.6785,94.5349
201710,6800,10362,94.7551,94.6092
201711,5097,5835,94.7882,94.5491
201712,5718,5063,94.6276,94.3574
201801,4423,6113,94.708,94.5081
201802,3200,5852,94.5448,94.4754
201803,5325,8120,94.6614,94.5395
201804,6775,11811,94.83,94.6811
201805,8187,13340,94.9438,94.7677
201806,7796,13423,94.9156,94.7777
201807,8078,12692,94.9117,94.708
201808,8368,10302,94.8923,94.5533
201809,9712,13425,94.9528,94.8109
201810,10111,14362,95.0014,94.8316
201811,8219,8561,95.0355,94.7874
201812,8702,7073,94.9315,94.6427
201901,6243,8090,94.7658,94.6117
201902,5011,7999,94.7338,94.6752
201903,8051,11160,94.8601,94.7013
201904,9960,15528,94.899,94.7718
201905,11849,17617,94.8349,94.8302
201906,11357,18451,94.8806,94.7724
201907,10834,16309,94.8534,94.7061
201908,11446,13359,94.7999,94.5206
201909,13704,17930,94.931,94.756
201910,13453,18693,94.872,94.8843
201911,11215,11137,94.8725,94.7564
201912,12188,9218,94.6266,94.5536
202001,8953,10576,94.6451,94.6543
202002,7603,10006,94.4022,94.6861
202003,5760,2486,94.5513,94.5185
202004,1141,136,93.8964,95.1324
202005,1701,226,94.1338,95.2788
202006,2594,1303,94.4267,94.9125
202007,3890,3261,94.3417,94.537
202008,4789,4956,94.319,94.6361
202009,4674,4294,94.3607,94.86
202010,5190,3579,94.0263,95.0956
202011,5070,1071,94.2018,95.0532
202012,4619,905,94.1481,95.0431
202101,4825,871,94.1313,95.132
202102,226,174,94.6964,96.1494
NULL,0,0,16.5865,15.6137
